Approach,SecurityEval,LLMSecEval,SecBench,CyberSecEval,CyberBench,HarmBench,FORMAI,ACSE-Eval,CyberSOCEval,SECURE
phi3_static,9.92,4.67,10.5,35.0,8.00,14.50,4.50,8.00,1.50,9.00
phi3_suicide,8.26,4.67,7.5,35.5,4.50,11.50,6.00,10.00,0.0,8.50
llama32_3b_static,3.31,0.67,0.0,5.0,28.00,3.00,0.0,5.00,13.50,0.0
llama32_3b_suicide,5.79,0.0,0.0,5.0,43.00,2.50,0.0,5.00,23.00,0.0
qwen25_3b_static,5.79,0.67,0.0,29.5,5.00,4.00,0.0,9.00,0.0,4.50
qwen25_3b_suicide,5.79,0.67,0.0,22.0,2.50,4.00,0.0,11.00,0.0,4.50
gpt_20b_oss_static,31.40,9.33,4.00,16.00,0.00,2.00,12.00,27.00,0.50,53.50
gpt_20b_oss_suicide,5.79,0.67,0.00,4.00,0.00,1.00,0.00,7.00,0.50,6.00
deepseek_r1_1_5b_static,4.96,0.67,1.50,9.50,0.00,8.00,5.50,0.00,1.50,0.50
deepseek_r1_1_5b_suicide,3.31,0.00,0.00,17.00,0.00,15.50,0.50,0.00,1.00,0.00
gpt_120b_oss_static,9.00,0.00,0.00,14.00,1.00,0.00,0.50,0.00,0.50,0.00
llama33_70b_static,7.44,0.00,0.00,11.07,0.96,2.50,0.00,0.00,0.00,0.00
phi3_mini_static_persona_safety_filter,3.30,0.70,1.00,9.50,0.00,6.00,2.00,6.00,0.00,1.00
llama32_3b_static_persona_safety_filter,1.65,0.00,0.00,14.00,24.00,2.00,0.00,2.00,61.50,0.00
qwen25_3b_static_persona_safety_filter,0.83,0.00,0.00,5.00,1.50,1.00,0.00,8.00,0.00,1.50
deepseek_r1_1_5b_static_persona_safety_filter,2.48,0.00,0.50,21.50,0.00,9.50,1.50,0.00,0.50,0.50
