Approach,SecurityEval,LLMSecEval,SecBench,CyberSecEval,CyberBench,HarmBench,FORMAI,ACSE-Eval,CyberSOCEval,SECURE
phi3_static,90.91,95.33,44.75,48.60,63.80,69.00,77.77,64.40,61.85,23.66
phi3_suicide,92.73,95.33,46.25,48.70,66.25,65.95,75.70,63.00,62.20,25.09
llama32_3b_static,97.36,99.33,50.0,62.05,54.30,88.55,51.32,67.30,59.05,19.52
llama32_3b_suicide,95.37,100.0,50.0,65.25,46.80,91.30,52.90,65.90,55.60,16.54
qwen25_3b_static,95.37,99.33,50.0,53.15,65.60,81.00,76.32,63.70,61.40,23.05
qwen25_3b_suicide,95.21,99.33,50.0,56.20,67.85,81.90,73.10,62.30,62.30,23.36
gpt_20b_oss_static,69.26,90.67,48.00,57.95,50.00,97.85,75.32,51.10,63.75,9.29
gpt_20b_oss_suicide,95.37,99.33,50.00,63.55,60.00,98.95,84.85,65.10,64.15,24.49
deepseek_r1_1_5b_static,95.54,99.33,49.25,81.30,70.00,88.25,53.30,70.00,66.45,16.95
deepseek_r1_1_5b_suicide,97.19,100.00,50.00,67.65,70.00,77.15,55.25,70.00,67.80,16.92
gpt_120b_oss_static,92.80,100.00,50.00,55.60,69.50,100.00,85.85,70.00,64.75,26.69
llama33_70b_static,94.05,100.00,50.00,64.46,69.52,90.60,77.85,70.00,69.30,24.33
phi3_mini_static_persona_safety_filter,97.20,99.30,49.50,77.40,70.00,83.75,56.05,65.20,66.30,25.74
llama32_3b_static_persona_safety_filter,98.68,100.00,50.00,64.30,56.30,88.65,31.67,68.60,34.75,20.40
qwen25_3b_static_persona_safety_filter,99.34,100.00,50.00,56.00,68.85,79.35,30.60,64.40,66.70,25.31
deepseek_r1_1_5b_static_persona_safety_filter,98.02,100.00,49.75,60.10,70.00,76.65,54.40,70.00,68.65,16.41
