timestamp,activity,root_pid,status,n_procs,cpu_percent,cpu_percent_cores,cpu_seconds_delta,interval_s,ram_mb,gpu_mem_mb,gpu_util_percent,gpu_pids_matched
1788104068.701,qwen25_3b,2867,running,2,,,,,707.17,3057.97,0,1
1788104069.282,qwen25_3b,2867,running,2,9.928,2501.923,14.55,0.5816,730.83,3064.01,6.0,1
1788104069.791,qwen25_3b,2867,running,2,10.097,2544.377,12.96,0.5094,732.77,3065.96,15.0,1
1788104070.300,qwen25_3b,2867,running,2,9.59,2416.803,12.29,0.5085,732.77,3065.96,19.0,1
1788104070.806,qwen25_3b,2867,running,2,10.713,2699.657,13.67,0.5064,732.77,3065.96,22.0,1
1788104071.391,qwen25_3b,2867,running,2,9.42,2373.768,13.87,0.5843,732.77,3065.96,22.0,1
1788104071.900,qwen25_3b,2867,running,2,11.098,2796.702,14.25,0.5095,732.77,3065.96,21.0,1
1788104072.491,qwen25_3b,2867,running,2,9.242,2328.909,13.76,0.5908,732.77,3065.96,17.0,1
1788104072.999,qwen25_3b,2867,running,2,10.325,2601.794,13.21,0.5077,732.77,3065.96,20.0,1
1788104073.506,qwen25_3b,2867,running,2,10.967,2763.602,14.02,0.5073,732.77,3065.96,21.0,1
1788104074.089,qwen25_3b,2867,running,2,10.069,2537.341,14.79,0.5829,732.77,3065.96,9.0,1
1788104074.689,qwen25_3b,2867,running,2,10.423,2626.555,15.76,0.6,732.77,3065.96,10.0,1
1788104075.198,qwen25_3b,2867,running,2,11.254,2836.112,14.45,0.5095,732.77,3065.96,13.0,1
1788104075.788,qwen25_3b,2867,running,2,9.106,2294.734,13.52,0.5892,732.77,3065.96,10.0,1
1788104076.383,qwen25_3b,2867,running,2,10.01,2522.419,15.01,0.5951,732.77,3065.96,12.0,1
1788104076.892,qwen25_3b,2867,running,2,11.902,2999.428,15.29,0.5098,732.77,3065.96,12.0,1
1788104077.486,qwen25_3b,2867,running,2,9.186,2314.839,13.73,0.5931,732.77,3065.96,16.0,1
1788104078.001,qwen25_3b,2867,running,2,11.216,2826.461,14.58,0.5158,732.77,3065.96,19.0,1
1788104078.516,qwen25_3b,2867,running,2,9.903,2495.674,12.85,0.5149,732.77,3065.96,17.0,1
1788104079.083,qwen25_3b,2867,running,2,9.275,2337.288,13.24,0.5665,732.77,3065.96,25.0,1
1788104079.591,qwen25_3b,2867,running,2,10.312,2598.538,13.2,0.508,732.77,3065.96,24.0,1
1788104080.182,qwen25_3b,2867,running,2,10.651,2684.162,15.88,0.5916,732.77,3065.96,24.0,1
1788104080.702,qwen25_3b,2867,running,2,11.807,2975.357,15.46,0.5196,744.55,3065.96,3.0,1
1788104081.291,qwen25_3b,2867,running,2,9.43,2376.242,13.99,0.5887,762.27,3065.96,9.0,1
1788104081.885,qwen25_3b,2867,running,2,9.384,2364.643,14.06,0.5946,762.27,3065.96,17.0,1
1788104082.489,qwen25_3b,2867,running,2,10.326,2602.037,15.71,0.6038,762.27,3065.96,21.0,1
1788104083.084,qwen25_3b,2867,running,2,10.954,2760.469,16.42,0.5948,762.27,3065.96,17.0,1
1788104083.683,qwen25_3b,2867,running,2,10.006,2521.58,15.1,0.5988,762.27,3065.96,11.0,1
1788104084.191,qwen25_3b,2867,running,2,10.302,2596.058,13.19,0.5081,762.27,3065.96,12.0,1
1788104084.699,qwen25_3b,2867,running,2,11.742,2958.876,15.04,0.5083,762.27,3065.96,13.0,1
1788104085.289,qwen25_3b,2867,running,2,8.58,2162.154,12.75,0.5897,762.27,3065.96,12.0,1
1788104085.888,qwen25_3b,2867,running,2,10.217,2574.588,15.43,0.5993,762.27,3065.96,21.0,1
1788104086.399,qwen25_3b,2867,running,2,10.961,2762.123,14.12,0.5112,762.27,3065.96,12.0,1
1788104086.983,qwen25_3b,2867,running,2,7.921,1996.051,11.65,0.5837,762.27,3065.96,19.0,1
1788104087.586,qwen25_3b,2867,running,2,5.946,1498.491,9.04,0.6033,762.27,3065.96,7.0,1
1788104088.382,qwen25_3b,2867,running,2,0.863,217.375,1.73,0.7959,762.27,3065.96,7.0,1
1788104089.490,qwen25_3b,2867,running,2,0.971,244.616,2.71,1.1079,762.27,3065.96,9.0,1
1788104090.091,qwen25_3b,2867,running,2,2.661,670.51,4.03,0.601,762.27,3065.96,4.0,1
1788104090.884,qwen25_3b,2867,running,2,3.631,915.072,7.26,0.7934,762.27,3065.96,5.0,1
