timestamp,activity,root_pid,status,n_procs,cpu_percent,cpu_percent_cores,cpu_seconds_delta,interval_s,ram_mb,gpu_mem_mb,gpu_util_percent,gpu_pids_matched
1787680374.146,deepseek_r1_1_5b,54157,running,2,,,,,1075.92,5752.01,0,1
1787680374.942,deepseek_r1_1_5b,54157,running,2,1.456,366.843,2.92,0.796,43.32,5752.01,0,1
1787680375.637,deepseek_r1_1_5b,54157,running,2,0.057,14.39,0.1,0.6949,43.32,5752.01,0,1
1787680376.148,deepseek_r1_1_5b,54157,running,2,0.062,15.655,0.08,0.511,43.32,5752.01,0,1
1787680376.840,deepseek_r1_1_5b,54157,running,2,0.04,10.116,0.07,0.692,43.32,5752.01,0,1
1787680377.438,deepseek_r1_1_5b,54157,running,2,0.046,11.707,0.07,0.5979,43.32,,,0
1787680379.542,deepseek_r1_1_5b,54157,running,2,0.0,0.0,0.0,2.1036,53.15,,,0
1787680380.141,deepseek_r1_1_5b,54157,running,2,0.0,0.0,0.0,0.5999,51.2,,,0
1787680380.742,deepseek_r1_1_5b,54157,running,2,0.02,4.998,0.03,0.6002,59.08,,,0
1787680381.340,deepseek_r1_1_5b,54157,running,2,0.046,11.707,0.07,0.5979,169.27,,,0
1787680381.937,deepseek_r1_1_5b,54157,running,2,0.04,10.051,0.06,0.5969,204.8,,,0
1787680382.540,deepseek_r1_1_5b,54157,running,1,0.0,0.0,0.0,0.6039,43.32,,,0
1787680383.145,deepseek_r1_1_5b,54157,running,1,0.02,4.965,0.03,0.6043,43.32,,,0
1787680383.738,deepseek_r1_1_5b,54157,running,2,0.013,3.373,0.02,0.5929,44.75,,,0
1787680384.338,deepseek_r1_1_5b,54157,running,2,0.04,9.994,0.06,0.6003,101.89,,,0
1787680385.137,deepseek_r1_1_5b,54157,running,2,0.03,7.509,0.06,0.799,198.35,,,0
1787680385.738,deepseek_r1_1_5b,54157,running,2,0.053,13.319,0.08,0.6006,200.29,,,0
1787680386.445,deepseek_r1_1_5b,54157,running,2,0.039,9.892,0.07,0.7077,257.43,11.98,0,1
1787680387.044,deepseek_r1_1_5b,54157,running,2,0.033,8.353,0.05,0.5986,257.43,11.98,0,1
1787680387.745,deepseek_r1_1_5b,54157,running,2,0.04,9.984,0.07,0.7011,257.43,11.98,0,1
1787680388.439,deepseek_r1_1_5b,54157,running,2,0.034,8.646,0.06,0.6939,261.32,14.03,0,1
1787680389.137,deepseek_r1_1_5b,54157,running,2,0.045,11.461,0.08,0.698,282.93,414.0,0,1
1787680389.740,deepseek_r1_1_5b,54157,running,2,0.072,18.231,0.11,0.6034,314.47,414.0,0,1
1787680390.345,deepseek_r1_1_5b,54157,running,2,0.053,13.237,0.08,0.6044,316.52,414.0,0,1
1787680391.039,deepseek_r1_1_5b,54157,running,2,0.051,12.961,0.09,0.6944,330.24,414.0,0,1
1787680391.637,deepseek_r1_1_5b,54157,running,2,0.04,10.027,0.06,0.5984,344.06,414.0,0,1
1787680392.238,deepseek_r1_1_5b,54157,running,2,0.046,11.658,0.07,0.6005,347.96,414.0,0,1
1787680392.840,deepseek_r1_1_5b,54157,running,2,0.04,9.971,0.06,0.6018,346.83,414.0,0,1
1787680393.437,deepseek_r1_1_5b,54157,running,2,0.04,10.04,0.06,0.5976,339.05,414.0,0,1
1787680394.038,deepseek_r1_1_5b,54157,running,2,0.046,11.654,0.07,0.6007,339.05,414.0,0,1
