timestamp,activity,root_pid,status,n_procs,cpu_percent,cpu_percent_cores,cpu_seconds_delta,interval_s,ram_mb,gpu_mem_mb,gpu_util_percent,gpu_pids_matched
1787743315.216,gpt_20b_oss,162923,running,2,,,,,61.03,19632.03,0.0,1
1787743315.822,gpt_20b_oss,162923,running,2,0.34,85.762,0.52,0.6063,61.03,,,0
1787743316.363,gpt_20b_oss,162923,running,2,0.0,0.0,0.0,0.5406,224.46,,,0
1787743316.870,gpt_20b_oss,162923,running,2,0.352,88.744,0.45,0.5071,61.03,,,0
1787743317.394,gpt_20b_oss,162923,running,1,0.008,1.909,0.01,0.5237,61.03,,,0
1787743317.898,gpt_20b_oss,162923,running,2,0.0,0.0,0.0,0.5044,228.35,,,0
1787743318.405,gpt_20b_oss,162923,running,2,0.0,0.0,0.0,0.5066,244.12,,,0
1787743318.910,gpt_20b_oss,162923,running,2,0.039,9.893,0.05,0.5054,120.12,,,0
1787743319.415,gpt_20b_oss,162923,running,2,0.44,110.907,0.56,0.5049,385.64,414.0,1.0,1
1787743319.921,gpt_20b_oss,162923,running,2,0.4,100.903,0.51,0.5054,431.41,414.0,0.0,1
1787743320.426,gpt_20b_oss,162923,running,2,0.401,100.975,0.51,0.5051,431.41,414.0,0.0,1
1787743320.931,gpt_20b_oss,162923,running,2,0.392,98.901,0.5,0.5056,2510.44,414.0,0.0,1
1787743321.440,gpt_20b_oss,162923,running,2,0.406,102.288,0.52,0.5084,7154.69,414.0,0.0,1
1787743321.947,gpt_20b_oss,162923,running,2,0.399,100.577,0.51,0.5071,11413.09,414.0,0.0,1
1787743322.452,gpt_20b_oss,162923,running,2,0.401,100.93,0.51,0.5053,13598.41,12452.04,9.0,1
1787743322.957,gpt_20b_oss,162923,running,2,0.393,98.936,0.5,0.5054,13598.41,12452.04,60.0,1
1787743323.463,gpt_20b_oss,162923,running,2,0.401,100.927,0.51,0.5053,8395.37,12452.04,38.0,1
1787743323.968,gpt_20b_oss,162923,running,2,3.801,957.919,4.84,0.5053,1649.87,13142.02,0.0,1
1787743324.511,gpt_20b_oss,162923,running,2,11.542,2908.519,15.79,0.5429,1675.47,13147.96,4.0,1
1787743325.112,gpt_20b_oss,162923,running,2,11.951,3011.532,18.09,0.6007,1673.42,13147.96,0.0,1
1787743325.809,gpt_20b_oss,162923,running,2,9.004,2269.116,15.82,0.6972,1673.42,13147.96,0.0,1
1787743326.412,gpt_20b_oss,162923,running,2,12.749,3212.844,19.38,0.6032,1712.84,13157.99,0.0,1
1787743327.112,gpt_20b_oss,162923,running,2,9.484,2390.086,16.72,0.6996,1758.11,13161.98,0.0,1
1787743327.807,gpt_20b_oss,162923,running,2,9.211,2321.146,16.15,0.6958,1813.2,13164.03,0.0,1
1787743328.408,gpt_20b_oss,162923,running,2,10.557,2660.336,15.98,0.6007,1905.77,13165.98,30.0,1
1787743328.917,gpt_20b_oss,162923,running,2,10.446,2632.342,13.4,0.5091,1907.71,13168.03,11.0,1
1787743329.424,gpt_20b_oss,162923,running,2,10.555,2659.854,13.49,0.5072,1907.71,13168.03,10.0,1
1787743330.014,gpt_20b_oss,162923,running,2,10.993,2770.335,16.34,0.5898,1907.71,13168.03,8.0,1
1787743330.617,gpt_20b_oss,162923,running,2,10.146,2556.79,15.42,0.6031,1907.71,13168.03,8.0,1
1787743331.125,gpt_20b_oss,162923,running,2,11.556,2912.115,14.79,0.5079,1907.71,13168.03,9.0,1
1787743331.718,gpt_20b_oss,162923,running,2,9.117,2297.553,13.63,0.5932,1907.71,13168.03,9.0,1
1787743332.310,gpt_20b_oss,162923,running,2,11.062,2787.63,16.5,0.5919,1907.71,13168.03,6.0,1
1787743332.915,gpt_20b_oss,162923,running,2,10.61,2673.755,16.17,0.6048,1907.71,13168.03,7.0,1
1787743333.518,gpt_20b_oss,162923,running,2,10.192,2568.427,15.49,0.6031,1907.71,13168.03,11.0,1
1787743334.113,gpt_20b_oss,162923,running,2,10.595,2669.938,15.88,0.5948,1907.71,13168.03,8.0,1
1787743334.715,gpt_20b_oss,162923,running,2,9.121,2298.475,13.84,0.6021,1907.71,13168.03,11.0,1
1787743335.226,gpt_20b_oss,162923,running,2,11.616,2927.134,14.96,0.5111,1907.71,13168.03,10.0,1
1787743335.812,gpt_20b_oss,162923,running,2,10.653,2684.467,15.73,0.586,1907.71,13168.03,7.0,1
1787743336.413,gpt_20b_oss,162923,running,2,8.497,2141.318,12.86,0.6006,1907.71,13168.03,10.0,1
1787743336.919,gpt_20b_oss,162923,running,2,11.903,2999.486,15.18,0.5061,1907.71,13168.03,16.0,1
1787743337.426,gpt_20b_oss,162923,running,2,11.205,2823.718,14.32,0.5071,1907.71,13168.03,11.0,1
1787743338.015,gpt_20b_oss,162923,running,2,8.981,2263.163,13.33,0.589,1907.71,13168.03,13.0,1
1787743338.520,gpt_20b_oss,162923,running,2,10.398,2620.302,13.25,0.5057,1907.71,13168.03,4.0,1
1787743339.107,gpt_20b_oss,162923,running,2,9.925,2501.18,14.68,0.5869,1907.71,13168.03,10.0,1
1787743339.614,gpt_20b_oss,162923,running,2,11.022,2777.633,14.08,0.5069,1907.71,13168.03,20.0,1
1787743340.122,gpt_20b_oss,162923,running,2,10.814,2725.167,13.83,0.5075,1907.71,13168.03,18.0,1
1787743340.628,gpt_20b_oss,162923,running,2,10.673,2689.632,13.61,0.506,1907.71,13168.03,15.0,1
1787743341.208,gpt_20b_oss,162923,running,2,9.385,2364.916,13.73,0.5806,1907.71,13168.03,19.0,1
1787743341.715,gpt_20b_oss,162923,running,2,10.951,2759.58,13.97,0.5062,1907.71,13168.03,20.0,1
1787743342.220,gpt_20b_oss,162923,running,2,10.738,2706.028,13.68,0.5055,1907.71,13168.03,17.0,1
1787743342.725,gpt_20b_oss,162923,running,2,10.593,2669.536,13.49,0.5053,1907.71,13168.03,19.0,1
1787743343.231,gpt_20b_oss,162923,running,2,11.091,2795.029,14.14,0.5059,1907.71,13168.03,20.0,1
1787743343.812,gpt_20b_oss,162923,running,2,9.36,2358.642,13.7,0.5808,1907.71,13168.03,19.0,1
1787743344.319,gpt_20b_oss,162923,running,2,10.752,2709.512,13.74,0.5071,1907.71,13168.03,19.0,1
1787743344.825,gpt_20b_oss,162923,running,2,10.717,2700.625,13.66,0.5058,1907.71,13168.03,20.0,1
1787743345.331,gpt_20b_oss,162923,running,2,11.101,2797.472,14.15,0.5058,1907.71,13168.03,19.0,1
1787743345.914,gpt_20b_oss,162923,running,2,9.533,2402.301,14.02,0.5836,1907.71,13168.03,19.0,1
1787743346.421,gpt_20b_oss,162923,running,2,10.513,2649.389,13.42,0.5065,1907.71,13168.03,19.0,1
1787743346.927,gpt_20b_oss,162923,running,2,10.814,2725.127,13.79,0.506,1907.71,13168.03,20.0,1
1787743347.508,gpt_20b_oss,162923,running,2,9.838,2479.204,14.4,0.5808,1907.71,13168.03,20.0,1
1787743348.016,gpt_20b_oss,162923,running,2,10.641,2681.636,13.63,0.5083,1907.71,13168.03,21.0,1
1787743348.525,gpt_20b_oss,162923,running,2,10.934,2755.302,14.01,0.5085,1907.71,13168.03,20.0,1
1787743349.031,gpt_20b_oss,162923,running,2,10.594,2669.666,13.52,0.5064,1907.71,13168.03,21.0,1
1787743349.608,gpt_20b_oss,162923,running,2,8.982,2263.411,13.06,0.577,1907.71,13168.03,17.0,1
1787743350.114,gpt_20b_oss,162923,running,2,11.059,2786.828,14.11,0.5063,1907.71,13168.03,22.0,1
1787743350.621,gpt_20b_oss,162923,running,2,11.098,2796.708,14.17,0.5067,1907.71,13168.03,19.0,1
1787743351.131,gpt_20b_oss,162923,running,2,10.565,2662.383,13.57,0.5097,1907.71,13168.03,20.0,1
1787743351.714,gpt_20b_oss,162923,running,2,9.28,2338.611,13.63,0.5828,1907.71,13168.03,21.0,1
1787743352.219,gpt_20b_oss,162923,running,2,10.966,2763.358,13.97,0.5055,1907.71,13168.03,20.0,1
1787743352.725,gpt_20b_oss,162923,running,2,10.521,2651.231,13.4,0.5054,1907.71,13168.03,19.0,1
1787743353.230,gpt_20b_oss,162923,running,2,11.2,2822.331,14.27,0.5056,1907.71,13168.03,21.0,1
1787743353.813,gpt_20b_oss,162923,running,2,9.415,2372.601,13.82,0.5825,1907.71,13168.03,20.0,1
1787743354.321,gpt_20b_oss,162923,running,2,10.794,2720.072,13.82,0.5081,1907.71,13168.03,19.0,1
1787743354.827,gpt_20b_oss,162923,running,2,10.729,2703.59,13.7,0.5067,1907.71,13168.03,17.0,1
1787743355.410,gpt_20b_oss,162923,running,2,9.533,2402.361,14.0,0.5828,1907.71,13168.03,19.0,1
1787743355.917,gpt_20b_oss,162923,running,2,10.86,2736.717,13.87,0.5068,1907.71,13168.03,19.0,1
1787743356.424,gpt_20b_oss,162923,running,2,10.432,2628.763,13.32,0.5067,1907.71,13168.03,20.0,1
1787743356.929,gpt_20b_oss,162923,running,2,10.848,2733.729,13.82,0.5055,1907.71,13168.03,19.0,1
1787743357.508,gpt_20b_oss,162923,running,2,9.456,2382.953,13.79,0.5787,1907.71,13168.03,20.0,1
1787743358.014,gpt_20b_oss,162923,running,2,10.846,2733.228,13.83,0.506,1907.71,13168.03,20.0,1
1787743358.521,gpt_20b_oss,162923,running,2,10.829,2728.784,13.85,0.5076,1907.71,13168.03,19.0,1
1787743359.108,gpt_20b_oss,162923,running,2,9.675,2438.137,14.29,0.5861,1907.71,13168.03,19.0,1
1787743359.614,gpt_20b_oss,162923,running,2,10.485,2642.332,13.37,0.506,1907.71,13168.03,18.0,1
1787743360.121,gpt_20b_oss,162923,running,2,11.235,2831.208,14.36,0.5072,1907.71,13168.03,22.0,1
1787743360.628,gpt_20b_oss,162923,running,2,10.674,2689.862,13.64,0.5071,1907.71,13168.03,19.0,1
1787743361.208,gpt_20b_oss,162923,running,2,9.455,2382.585,13.82,0.58,1907.71,13168.03,20.0,1
1787743361.716,gpt_20b_oss,162923,running,2,10.853,2735.08,13.89,0.5078,1907.71,13168.03,20.0,1
1787743362.224,gpt_20b_oss,162923,running,2,10.807,2723.339,13.84,0.5082,1907.71,13168.03,20.0,1
1787743362.730,gpt_20b_oss,162923,running,2,10.868,2738.748,13.87,0.5064,1907.71,13168.03,18.0,1
1787743363.315,gpt_20b_oss,162923,running,2,9.661,2434.618,14.23,0.5845,1907.71,13168.03,20.0,1
1787743363.821,gpt_20b_oss,162923,running,2,10.563,2661.993,13.47,0.506,1907.71,13168.03,18.0,1
1787743364.327,gpt_20b_oss,162923,running,2,10.73,2703.841,13.69,0.5063,1907.71,13168.03,20.0,1
1787743364.833,gpt_20b_oss,162923,running,2,10.557,2660.255,13.46,0.506,1907.71,13168.03,19.0,1
