timestamp,activity,root_pid,status,n_procs,cpu_percent,cpu_percent_cores,cpu_seconds_delta,interval_s,ram_mb,gpu_mem_mb,gpu_util_percent,gpu_pids_matched
1787766871.410,llama32_3b,150915,running,1,,,,,45.26,,,0
1787766871.917,llama32_3b,150915,running,2,0.0,0.0,0.0,0.5066,212.68,,,0
1787766872.423,llama32_3b,150915,running,2,0.0,0.0,0.0,0.5066,277.61,,,0
1787766872.931,llama32_3b,150915,running,2,0.023,5.909,0.03,0.5077,208.69,,,0
1787766873.442,llama32_3b,150915,running,2,0.319,80.272,0.41,0.5108,339.76,414.0,6.0,1
1787766874.243,llama32_3b,150915,running,2,0.035,8.736,0.07,0.8013,347.65,414.0,0,1
1787766875.042,llama32_3b,150915,running,2,0.035,8.762,0.07,0.7989,351.54,414.0,0,1
1787766875.648,llama32_3b,150915,running,2,0.072,18.164,0.11,0.6056,381.13,414.0,0,1
1787766876.246,llama32_3b,150915,running,2,0.073,18.374,0.11,0.5987,385.02,414.0,0,1
1787766876.756,llama32_3b,150915,running,2,0.062,15.703,0.08,0.5094,375.19,414.0,0,1
1787766877.446,llama32_3b,150915,running,2,0.08,20.28,0.14,0.6903,375.19,414.0,0,1
1787766878.046,llama32_3b,150915,running,2,0.079,20.0,0.12,0.6,375.19,414.0,0,1
1787766878.639,llama32_3b,150915,running,2,0.08,20.251,0.12,0.5926,375.19,414.0,0,1
1787766879.147,llama32_3b,150915,running,2,0.117,29.477,0.15,0.5089,383.08,414.0,0,1
1787766879.654,llama32_3b,150915,running,2,0.11,27.619,0.14,0.5069,1093.73,414.0,0,1
1787766880.161,llama32_3b,150915,running,2,0.102,25.676,0.13,0.5063,1739.47,414.0,0,1
1787766880.669,llama32_3b,150915,running,2,0.125,31.487,0.16,0.5081,2308.51,2334.0,9.0,1
1787766881.248,llama32_3b,150915,running,2,0.103,25.896,0.15,0.5792,2308.51,2334.0,0,1
1787766881.840,llama32_3b,150915,running,2,0.094,23.653,0.14,0.5919,1011.2,2334.0,0,1
1787766882.348,llama32_3b,150915,running,2,2.72,685.462,3.48,0.5077,756.12,4328.04,0,1
1787766882.944,llama32_3b,150915,running,2,8.372,2109.744,12.58,0.5963,791.65,4333.98,5.0,1
1787766883.644,llama32_3b,150915,running,2,9.058,2282.619,15.98,0.7001,793.6,4333.98,0,1
1787766884.343,llama32_3b,150915,running,2,8.965,2259.119,15.8,0.6994,797.49,4333.98,0,1
1787766884.946,llama32_3b,150915,running,2,7.093,1787.365,10.77,0.6026,811.32,4340.02,0,1
1787766885.642,llama32_3b,150915,running,2,6.306,1589.111,11.06,0.696,817.15,4344.01,12.0,1
1787766886.241,llama32_3b,150915,running,2,4.622,1164.674,6.98,0.5993,817.15,4344.01,0,1
1787766886.839,llama32_3b,150915,running,2,5.786,1458.011,8.71,0.5974,817.15,4344.01,7.0,1
