timestamp,activity,root_pid,status,n_procs,cpu_percent,cpu_percent_cores,cpu_seconds_delta,interval_s,ram_mb,gpu_mem_mb,gpu_util_percent,gpu_pids_matched
1787766972.146,phi3_mini,152108,running,2,,,,,445.75,8775.99,0,1
1787766973.039,phi3_mini,152108,running,2,2.673,673.679,6.01,0.8921,457.52,8783.97,0,1
1787766973.640,phi3_mini,152108,running,2,3.221,811.784,4.88,0.6011,457.52,8783.97,18.0,1
1787766974.245,phi3_mini,152108,running,2,2.328,586.61,3.55,0.6052,457.52,8783.97,6.0,1
1787766974.948,phi3_mini,152108,running,2,2.749,692.776,4.87,0.703,457.52,8783.97,5.0,1
1787766975.641,phi3_mini,152108,running,2,2.553,643.435,4.46,0.6932,457.52,8783.97,2.0,1
1787766976.241,phi3_mini,152108,running,2,1.885,474.923,2.85,0.6001,457.52,8783.97,0,1
1787766976.844,phi3_mini,152108,running,2,2.664,671.424,4.05,0.6032,457.52,8783.97,0,1
1787766977.440,phi3_mini,152108,running,2,3.173,799.543,4.76,0.5953,457.52,8783.97,4.0,1
1787766978.341,phi3_mini,152108,running,2,1.991,501.735,4.52,0.9009,457.52,8783.97,4.0,1
1787766978.943,phi3_mini,152108,running,2,3.393,855.025,5.15,0.6023,457.52,8783.97,7.0,1
1787766979.546,phi3_mini,152108,running,2,2.673,673.49,4.06,0.6028,457.52,8783.97,0,1
1787766980.142,phi3_mini,152108,running,2,3.958,997.472,5.95,0.5965,457.52,8783.97,0,1
1787766980.940,phi3_mini,152108,running,2,2.89,728.289,5.81,0.7978,457.52,8783.97,11.0,1
1787766981.639,phi3_mini,152108,running,2,3.58,902.09,6.31,0.6995,457.52,8783.97,4.0,1
1787766982.338,phi3_mini,152108,running,2,2.999,755.645,5.28,0.6987,457.52,8783.97,11.0,1
1787766982.940,phi3_mini,152108,running,2,3.839,967.49,5.82,0.6016,457.52,8783.97,8.0,1
1787766983.449,phi3_mini,152108,running,2,3.686,928.926,4.73,0.5092,457.52,8783.97,5.0,1
1787766984.142,phi3_mini,152108,running,2,2.845,716.994,4.97,0.6932,457.52,8783.97,16.0,1
1787766984.743,phi3_mini,152108,running,2,3.646,918.806,5.52,0.6008,457.52,8783.97,11.0,1
1787766985.443,phi3_mini,152108,running,2,3.678,926.821,6.49,0.7002,457.52,8783.97,5.0,1
1787766986.046,phi3_mini,152108,running,2,4.031,1015.693,6.12,0.6025,457.52,8783.97,4.0,1
1787766986.839,phi3_mini,152108,running,2,3.088,778.086,6.17,0.793,457.52,8783.97,8.0,1
1787766987.638,phi3_mini,152108,running,2,3.227,813.144,6.5,0.7994,457.52,8783.97,0,1
1787766988.247,phi3_mini,152108,running,2,3.714,935.981,5.7,0.609,457.52,8783.97,8.0,1
1787766989.142,phi3_mini,152108,running,2,3.694,930.821,8.33,0.8949,457.52,8783.97,7.0,1
1787766989.747,phi3_mini,152108,running,2,3.794,956.152,5.79,0.6056,457.52,8783.97,5.0,1
1787766990.350,phi3_mini,152108,running,2,4.018,1012.604,6.1,0.6024,457.52,8783.97,16.0,1
1787766991.041,phi3_mini,152108,running,2,3.204,807.498,5.58,0.691,457.52,8783.97,11.0,1
1787766991.643,phi3_mini,152108,running,2,3.728,939.528,5.66,0.6024,457.52,8783.97,0,1
1787766992.244,phi3_mini,152108,running,2,3.123,786.879,4.73,0.6011,457.52,8783.97,6.0,1
1787766992.843,phi3_mini,152108,running,2,2.851,718.494,4.3,0.5985,457.52,8783.97,6.0,1
1787766993.445,phi3_mini,152108,running,2,2.643,666.147,4.01,0.602,457.52,8783.97,5.0,1
1787766994.139,phi3_mini,152108,running,2,3.15,793.858,5.51,0.6941,457.52,8783.97,0,1
1787766994.743,phi3_mini,152108,running,2,3.417,861.191,5.2,0.6038,457.52,8783.97,8.0,1
1787766995.540,phi3_mini,152108,running,2,3.588,904.174,7.21,0.7974,457.52,8783.97,9.0,1
1787766996.142,phi3_mini,152108,running,2,3.963,998.557,6.01,0.6019,457.52,8783.97,4.0,1
1787766996.743,phi3_mini,152108,running,2,3.817,961.969,5.78,0.6009,457.52,8783.97,4.0,1
1787766997.442,phi3_mini,152108,running,2,4.585,1155.439,8.08,0.6993,457.52,8783.97,0,1
1787766998.042,phi3_mini,152108,running,2,3.237,815.648,4.89,0.5995,457.52,8783.97,11.0,1
1787766998.644,phi3_mini,152108,running,2,3.499,881.679,5.31,0.6023,457.52,8783.97,4.0,1
1787766999.244,phi3_mini,152108,running,2,3.254,819.886,4.92,0.6001,457.52,8783.97,6.0,1
1787766999.841,phi3_mini,152108,running,2,2.819,710.45,4.24,0.5968,457.52,8783.97,0,1
1787767000.443,phi3_mini,152108,running,2,3.492,880.049,5.3,0.6022,457.52,8783.97,6.0,1
1787767001.141,phi3_mini,152108,running,2,2.978,750.476,5.24,0.6982,457.52,8783.97,7.0,1
1787767001.740,phi3_mini,152108,running,2,3.395,855.624,5.12,0.5984,457.52,8783.97,0,1
1787767002.345,phi3_mini,152108,running,2,3.785,953.758,5.77,0.605,457.52,8783.97,0,1
1787767002.945,phi3_mini,152108,running,2,3.472,874.975,5.25,0.6,457.52,8783.97,11.0,1
1787767003.546,phi3_mini,152108,running,2,3.266,823.074,4.95,0.6014,457.52,8783.97,9.0,1
1787767004.148,phi3_mini,152108,running,2,2.939,740.515,4.46,0.6023,457.52,8783.97,6.0,1
1787767004.843,phi3_mini,152108,running,2,3.285,827.869,5.75,0.6946,457.52,8783.97,13.0,1
1787767005.540,phi3_mini,152108,running,2,2.357,593.881,4.14,0.6971,457.52,8783.97,0,1
1787767006.142,phi3_mini,152108,running,2,2.935,739.73,4.45,0.6016,457.52,8783.97,10.0,1
1787767006.744,phi3_mini,152108,running,2,3.672,925.234,5.57,0.602,457.52,8783.97,0,1
1787767007.345,phi3_mini,152108,running,2,2.812,708.511,4.26,0.6013,457.52,8783.97,3.0,1
1787767008.245,phi3_mini,152108,running,2,2.333,587.989,5.29,0.8997,457.52,8783.97,0,1
1787767008.943,phi3_mini,152108,running,2,3.006,757.58,5.29,0.6983,457.52,8783.97,6.0,1
1787767009.940,phi3_mini,152108,running,2,0.855,215.537,2.15,0.9975,457.52,8783.97,0,1
1787767010.839,phi3_mini,152108,running,2,1.188,299.362,2.69,0.8986,457.52,8783.97,0,1
1787767011.442,phi3_mini,152108,running,2,1.907,480.608,2.9,0.6034,457.52,8783.97,7.0,1
1787767012.138,phi3_mini,152108,running,2,3.816,961.518,6.69,0.6958,457.52,8783.97,8.0,1
1787767012.838,phi3_mini,152108,running,2,2.325,585.808,4.1,0.6999,457.52,8783.97,4.0,1
1787767013.541,phi3_mini,152108,running,2,1.659,418.19,2.94,0.703,457.52,8783.97,11.0,1
1787767014.139,phi3_mini,152108,running,2,1.52,382.984,2.29,0.5979,457.52,8783.97,6.0,1
1787767014.739,phi3_mini,152108,running,2,2.461,620.271,3.72,0.5997,457.52,8783.97,7.0,1
1787767015.544,phi3_mini,152108,running,2,1.36,342.784,2.76,0.8052,457.52,8783.97,4.0,1
1787767016.542,phi3_mini,152108,running,2,1.423,358.716,3.58,0.998,457.52,8783.97,0,1
1787767017.238,phi3_mini,152108,running,2,3.7,932.398,6.49,0.6961,457.52,8783.97,2.0,1
1787767017.843,phi3_mini,152108,running,2,3.372,849.663,5.14,0.6049,457.52,8783.97,7.0,1
1787767018.440,phi3_mini,152108,running,2,3.741,942.66,5.63,0.5972,457.52,8783.97,10.0,1
1787767019.139,phi3_mini,152108,running,2,2.254,568.068,3.97,0.6989,457.52,8783.97,5.0,1
1787767019.739,phi3_mini,152108,running,2,1.793,451.922,2.71,0.5997,457.52,8783.97,0,1
1787767020.438,phi3_mini,152108,running,2,2.684,676.248,4.73,0.6994,457.52,8783.97,0,1
1787767021.042,phi3_mini,152108,running,2,3.253,819.646,4.95,0.6039,457.52,8783.97,0,1
1787767021.739,phi3_mini,152108,running,2,1.748,440.41,3.07,0.6971,457.52,8783.97,0,1
1787767022.250,phi3_mini,152108,running,2,3.333,839.799,4.29,0.5108,457.52,8783.97,10.0,1
1787767022.942,phi3_mini,152108,running,2,2.574,648.726,4.49,0.6921,457.52,8783.97,2.0,1
1787767023.840,phi3_mini,152108,running,2,2.103,530.055,4.76,0.898,457.52,8783.97,0,1
1787767024.442,phi3_mini,152108,running,2,2.168,546.225,3.29,0.6023,457.52,8783.97,10.0,1
1787767025.043,phi3_mini,152108,running,2,2.663,670.994,4.03,0.6006,457.52,8783.97,5.0,1
