timestamp,activity,root_pid,status,n_procs,cpu_percent,cpu_percent_cores,cpu_seconds_delta,interval_s,ram_mb,gpu_mem_mb,gpu_util_percent,gpu_pids_matched
1788139259.789,qwen25_3b,387147,running,2,,,,,708.2,3057.97,0.0,1
1788139260.483,qwen25_3b,387147,running,2,8.145,2052.464,14.25,0.6943,733.8,3065.96,6.0,1
1788139260.992,qwen25_3b,387147,running,2,10.627,2677.966,13.62,0.5086,733.8,3065.96,21.0,1
1788139261.500,qwen25_3b,387147,running,2,11.009,2774.279,14.1,0.5082,733.8,3065.96,25.0,1
1788139262.006,qwen25_3b,387147,running,2,10.614,2674.785,13.55,0.5066,733.8,3065.96,25.0,1
1788139262.583,qwen25_3b,387147,running,2,9.532,2402.043,13.84,0.5762,733.8,3065.96,26.0,1
1788139263.090,qwen25_3b,387147,running,2,10.942,2757.431,13.98,0.507,733.8,3065.96,25.0,1
1788139263.598,qwen25_3b,387147,running,2,10.592,2669.127,13.57,0.5084,733.8,3065.96,23.0,1
1788139264.107,qwen25_3b,387147,running,2,11.102,2797.773,14.23,0.5086,733.8,3065.96,26.0,1
1788139264.682,qwen25_3b,387147,running,2,9.422,2374.445,13.67,0.5757,733.8,3065.96,18.0,1
1788139265.189,qwen25_3b,387147,running,2,10.592,2669.211,13.53,0.5069,733.8,3065.96,17.0,1
1788139265.696,qwen25_3b,387147,running,2,10.62,2676.218,13.55,0.5063,733.8,3065.96,24.0,1
1788139266.282,qwen25_3b,387147,running,2,9.993,2518.36,14.78,0.5869,733.8,3065.96,23.0,1
1788139266.789,qwen25_3b,387147,running,2,10.821,2726.822,13.8,0.5061,733.8,3065.96,27.0,1
1788139267.295,qwen25_3b,387147,running,2,10.67,2688.777,13.63,0.5069,733.8,3065.96,22.0,1
1788139267.802,qwen25_3b,387147,running,2,10.65,2683.828,13.6,0.5067,733.8,3065.96,24.0,1
1788139268.312,qwen25_3b,387147,running,2,11.034,2780.575,14.18,0.51,733.8,3065.96,24.0,1
1788139268.888,qwen25_3b,387147,running,2,9.575,2412.91,13.89,0.5757,733.8,3065.96,25.0,1
1788139269.395,qwen25_3b,387147,running,2,10.661,2686.479,13.63,0.5074,733.8,3065.96,25.0,1
1788139269.901,qwen25_3b,387147,running,2,11.184,2818.46,14.27,0.5063,733.8,3065.96,18.0,1
1788139270.483,qwen25_3b,387147,running,2,9.349,2356.072,13.71,0.5819,733.8,3065.96,14.0,1
1788139270.990,qwen25_3b,387147,running,2,11.06,2787.109,14.13,0.507,733.8,3065.96,25.0,1
1788139271.497,qwen25_3b,387147,running,2,10.546,2657.573,13.47,0.5069,733.8,3065.96,23.0,1
1788139272.004,qwen25_3b,387147,running,2,10.932,2754.892,13.95,0.5064,733.8,3065.96,26.0,1
1788139272.582,qwen25_3b,387147,running,2,9.385,2364.909,13.69,0.5789,733.8,3065.96,24.0,1
1788139273.089,qwen25_3b,387147,running,2,10.857,2735.967,13.87,0.507,733.8,3065.96,22.0,1
1788139273.596,qwen25_3b,387147,running,2,10.758,2711.127,13.74,0.5068,733.8,3065.96,21.0,1
1788139274.102,qwen25_3b,387147,running,2,10.953,2760.15,13.95,0.5054,733.8,3065.96,21.0,1
1788139274.608,qwen25_3b,387147,running,2,10.866,2738.261,13.87,0.5065,747.52,3065.96,2.0,1
1788139275.188,qwen25_3b,387147,running,2,9.403,2369.488,13.74,0.5799,771.17,3069.95,24.0,1
1788139275.696,qwen25_3b,387147,running,2,10.756,2710.512,13.76,0.5077,771.17,3069.95,22.0,1
1788139276.203,qwen25_3b,387147,running,2,10.756,2710.566,13.74,0.5069,771.17,3069.95,21.0,1
